IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
Stallion India Fluorochem Limited,-0.4590892675747155,1.9873042071864109,2.5496851528999263,2.447775050628172,2.810854741670724,-0.83751817746744,-0.7455792652622247,0.4796926920349361,-0.45416769583125177,-0.46150976411877564,-0.17689545951908292,2025,1
Laxmi Dental Limited,-0.27022781007017077,0.9973975537607099,0.5384556206083122,1.8234083874126732,1.43331327200527,0.20250567221540272,0.23449319497654492,0.16711773478425965,-0.22715996017150447,-0.23171972020389428,-0.34874232446505526,2025,1
Capital Infra Trust,0.0630722659743313,-0.7402803126844052,-0.5146059019100971,-0.48175938031370086,-0.6565633673695414,-0.8098252347244057,-0.7960241713039261,-0.5652544820036843,-0.4912670092761738,-0.497832057217233,-0.39972561788035493,2025,1
Quadrant Future Tek Limited,-0.42479110873907944,1.3480982962053705,1.3207592052166581,6.9846378988357065,2.779000841560813,-0.2221194498444561,-0.13543611599593186,0.3429999323947205,-0.2386241612248773,-0.24645728157048963,-0.19648661916732216,2025,1
Standard Glass Lining Technology Limited,-0.37931906049812836,4.498391156811606,1.4218079728426332,1.483257057573721,2.71417536063538,-0.683668495561694,-0.6110595158176877,0.24079387816832085,-0.41940260960441716,-0.42413597085539834,-0.2506708303991649,2025,1
Indo Farm Equipment Limited,-0.4360975697136099,3.0867257133971773,3.14623193842789,2.6905675109487754,3.5803779074838396,-0.4528939727030751,-0.4131233130635833,0.06773332009171763,-0.38240262497728605,-0.38952754023047204,-0.3298067744900839,2025,1
Unimech Aerospace and Manufacturing Limited,-0.34524816720971896,4.27730409129031,1.387221302560211,1.2338127490251565,2.567572908082748,1.300992401022429,2.547752457745994,2.2545039588314046,0.35138901645340115,0.3474333233878748,-0.1684496643163971,2024,12
Ventive Hospitality Limited,0.07140533603931191,-0.6057606235698015,-0.44418685500033495,-0.3042759753221765,-0.5155493183449641,0.8640593044101104,0.6912598084922361,-0.19875485810595042,0.059403679155403497,0.05040522562011612,-0.261006324071858,2024,12
Carraro India Limited,-0.061166233176288824,-0.7144841840659576,-0.5412786730601007,-0.4602920519416425,-0.6772404604233433,1.0517559163351204,0.5515754615243822,-0.7612016718549108,-0.21151567136942892,-0.21847247403167366,-0.47897725779596834,2024,12
Senores Pharmaceuticals Limited,-0.31414687707173905,0.7486152581275841,0.15858846225221776,2.21616978960005,1.0419387449238475,0.08865690760515071,0.3923136867355822,1.0600098894983285,-0.009878171253788329,-0.015955198173851378,-0.05587762688881784,2024,12
Transrail Lighting Limited,-0.21687722285869257,2.4324852489268576,0.014233079929396346,0.18554193964591456,0.8070395166279533,0.2148136467678624,0.37177540356146077,0.5461579788324722,0.09495511852308319,0.08493086095646608,-0.004662941824129487,2024,12
Dam Capital Advisors Limited,-0.21636966313655284,1.8828536250503658,0.17698095005070927,0.33853444888903433,0.8308833716809861,-0.24365840531126054,-0.09003570055840067,0.6521262191040154,-0.3747874156133128,-0.38196833038344863,-0.40801715198344835,2024,12
Mamata Machinery Limited,-0.4667026634068115,2.983541198923387,1.4648947570080235,3.693182452945189,2.9334270590527205,-0.3667381508358573,0.4074471585480925,4.040601783763305,-0.20642506945764239,-0.21325637085136182,-0.03590081449159751,2024,12
Sanathan Textiles Limited,-0.3263093716074903,0.44729115451087215,-0.23637372593052708,-0.21175481360598156,-0.04388806057715753,-0.1267326470628936,-0.02709967492542075,0.3928488974928725,-0.17555036192762027,-0.18373985047388278,-0.15425764315389312,2024,12
Concord Enviro Systems Limited,-0.3451231711587443,-0.4753556543575269,-0.44162216546668076,-0.3136490341888499,-0.49934294811360574,1.0425249354207757,0.9647432633897458,0.020705994527423284,-0.11185575751916974,-0.1152267491769294,-0.411796548923463,2024,12
International Gemmological Institute (India) Limited,1.0656921051563175,-0.02463556659471388,-0.36365560364359345,-0.14281747742528722,-0.06884959633580126,0.1686587421961386,0.17888369141152655,0.0953226844227703,-0.27777627023747914,-0.28392214965130097,-0.395830525115646,2024,12
Inventurus Knowledge Solutions Limited,0.4115158029823754,0.5267369003173792,-0.37530662181076535,-0.04183032705532277,0.2832198259316373,2.974876940156945,3.424532967518423,0.6778344904124962,0.7532982454400567,0.7434431886486941,-0.24816408753078778,2024,12
Vishal Mega Mart Limited,2.4955711731245827,0.5284777433529799,-0.4412557812475873,-0.4119149739201027,-0.18993167277698383,-0.874442101124819,-0.7696006490916063,0.7210996299316471,-0.43893727710330516,-0.446275431020722,-0.004315854350046496,2024,12
