iter	MultiClass
139	0.395020091
140	0.3930580041
141	0.3909756049
142	0.3893280752
143	0.3883574092
144	0.3864837563
145	0.385004424
146	0.3832702611
147	0.3818259459
148	0.3806382798
149	0.3794716695
150	0.3786377447
151	0.3773652282
152	0.3760165295
153	0.3746031067
154	0.3731665344
155	0.3710127401
156	0.3691690888
157	0.3679334627
158	0.3665503411
159	0.3653727551
160	0.3632619283
161	0.3616164404
162	0.3604712503
163	0.359113726
164	0.3573085584
165	0.3557274099
166	0.3545364704
167	0.3528776895
168	0.3517186941
169	0.35021086
170	0.3486251608
171	0.3479235014
172	0.346303098
173	0.3450317455
174	0.3435740114
175	0.3426506491
176	0.3415640086
177	0.3404101299
178	0.3393979516
179	0.3379253639
180	0.3366899777
181	0.3358158144
182	0.334093372
183	0.3325724748
184	0.3312222582
185	0.3301329811
186	0.3291778431
187	0.3281378632
188	0.3268095438
189	0.3254391774
190	0.3243410005
191	0.3226446642
192	0.3222547446
193	0.3212137434
194	0.3199727692
195	0.3189267953
196	0.3178048573
197	0.3169486658
198	0.3155512623
199	0.3142984726
200	0.3133522542
201	0.3123646683
202	0.3111470524
203	0.3101766062
204	0.3089055143
205	0.3077755388
206	0.30710405
207	0.3057491218
208	0.3053638378
209	0.3048409881
210	0.3040388773
211	0.3026346815
212	0.3014881001
213	0.3001248654
214	0.298521448
215	0.2972381333
216	0.2959454892
217	0.2946464817
218	0.2942538953
219	0.2935966417
220	0.2931288936
221	0.2922895258
222	0.2916708611
223	0.290449303
224	0.2897609285
225	0.2887223165
226	0.2874210771
227	0.2860800633
228	0.2845132784
229	0.2840059567
230	0.2831944392
231	0.2827638851
232	0.2818929131
233	0.2811117311
234	0.2804054397
235	0.2796766602
236	0.2790087684
237	0.2778008611
238	0.2770602507
239	0.2764832387
240	0.2754374036
241	0.2743062564
242	0.273566256
243	0.2728334397
244	0.2718918397
245	0.2710490842
246	0.269946901
247	0.2692114676
248	0.2680795293
249	0.2674610915
250	0.266999839
251	0.2659516294
252	0.2650898006
253	0.2640084516
254	0.2631216206
255	0.2622605153
256	0.261644146
257	0.2608154638
258	0.2598468296
259	0.2590620352
260	0.258207087
261	0.2577520591
262	0.2573373235
263	0.2561920695
264	0.2551420396
265	0.2548806541
266	0.2541699374
267	0.2534959117
268	0.2529829805
269	0.2519052666
270	0.2508346529
271	0.2500602625
272	0.2495351158
273	0.2490228857
274	0.2482376799
275	0.2473423135
276	0.2463649882
277	0.245929761
278	0.245159561
279	0.2445668763
280	0.2438342375
281	0.2432291162
282	0.2426164503
283	0.24202926
284	0.2413265966
285	0.2407473571
286	0.2401752725
287	0.2397945265
288	0.238835268
289	0.2381652275
290	0.2376702485
291	0.2368361095
292	0.2359192371
293	0.2349642845
294	0.2344411399
295	0.2337320821
296	0.2330142194
297	0.2324908672
298	0.2315882582
299	0.2309967703
300	0.2304637175
301	0.2301724554
302	0.2291942173
303	0.2281530526
304	0.2271688263
305	0.2263032194
306	0.2256672436
307	0.2252827696
308	0.2246863347
309	0.2240375958
310	0.2236913756
311	0.2232251501
312	0.2224000001
313	0.2220022011
314	0.221251226
315	0.2209298694
316	0.2200988234
317	0.2195522272
318	0.2188736731
319	0.2180751629
320	0.2175784433
321	0.2170878687
322	0.2165582675
323	0.2160732465
324	0.2158406594
325	0.2154154981
326	0.2147947955
327	0.2140540058
328	0.2134198892
329	0.2127328129
330	0.2123665408
331	0.2119642209
332	0.2111761459
333	0.2108661852
334	0.210107994
335	0.2095315589
336	0.2092636901
337	0.2088275791
338	0.208363026
339	0.2076834552
340	0.2072085721
341	0.2066554735
342	0.2063044354
343	0.2057666515
344	0.2053048995
345	0.2049739535
346	0.2045668092
347	0.2040230351
348	0.2035466342
349	0.2030888136
350	0.202620679
351	0.2021517086
352	0.2014547591
353	0.2007640726
354	0.2002183477
355	0.1996685047
356	0.1989384407
357	0.1987166407
358	0.1982594022
359	0.1977602894
360	0.1973640371
361	0.1969173855
362	0.1961211523
363	0.1958600957
364	0.1954934792
365	0.1949580752
366	0.1947341078
367	0.1944217772
368	0.1941928716
369	0.1938857198
370	0.1936027265
371	0.1933332612
372	0.1927986138
373	0.1922149594
374	0.1917139815
375	0.1910473139
376	0.1909418842
377	0.1906339203
378	0.1900887284
379	0.1895816285
380	0.1888619972
381	0.188024898
382	0.1875424025
383	0.1872435588
384	0.1864475975
385	0.1862415637
386	0.1859499939
387	0.1856429883
388	0.1851499285
389	0.1849620781
390	0.1846788621
391	0.1843266543
392	0.1837824439
393	0.183398893
394	0.183019702
395	0.182722037
396	0.1824064868
397	0.1822288861
398	0.1816605554
399	0.1812968552
400	0.180702887
401	0.1802856672
402	0.1798332901
403	0.1794429101
404	0.178853733
405	0.1786324167
406	0.1783832446
407	0.1780557101
408	0.1776882914
409	0.1773527862
410	0.1770041853
411	0.1767894613
412	0.1763724094
413	0.175931819
414	0.1754886589
415	0.1752872123
416	0.1749174765
417	0.1744007668
418	0.1738353793
419	0.1734152174
420	0.1729127126
421	0.1727924326
422	0.1723272467
423	0.1718914056
424	0.17134179
425	0.1710828412
426	0.1707609086
427	0.1702810888
428	0.1700763895
429	0.1695207434
430	0.1691386489
431	0.1688769893
432	0.1685066363
433	0.1681389752
434	0.1674988378
435	0.1673451536
436	0.167214592
437	0.1668515435
438	0.1666743486
439	0.1663160049
440	0.1658550792
441	0.1652314588
442	0.164780065
443	0.1646359137
444	0.1645250776
445	0.164198326
446	0.1640864157
447	0.1637779389
448	0.1634114397
449	0.1628787765
450	0.1627043733
451	0.1622480486
452	0.1619971629
453	0.1618040671
454	0.1614593095
455	0.16108562
456	0.1608820374
457	0.1606190747
458	0.1601950603
459	0.1600121375
460	0.1596488238
461	0.159455838
462	0.1591653012
463	0.1588537391
464	0.1585295583
465	0.1581781735
466	0.1580939859
467	0.1576343712
468	0.1572725394
469	0.1568736465
470	0.1565895658
471	0.1562663326
472	0.1561864058
473	0.1557385758
474	0.155400378
475	0.1552320672
476	0.1548778474
477	0.1545157669
478	0.1541054538
479	0.153927283
480	0.1535036974
481	0.1533295564
482	0.152963257
483	0.1526117706
484	0.1523079148
485	0.1519483329
486	0.1516866092
487	0.1513320738
488	0.1510135228
489	0.1508256541
490	0.1504724593
491	0.1502371307
492	0.1500989112
493	0.1498002671
494	0.149427128
495	0.1491954447
496	0.1489559467
497	0.1486452629
498	0.1481784251
499	0.1476269395
